geom,Plan_ID,File_Name,Allocation_Area,Planning_Area,Location_Description,Coordinates
POINT (1366644.2904403545 555305.7645921912),7398,SNOWDEN RIVER BUSINESS PARK,Columbia,Columbia,TERMINUS OF DRIED EARTH BLVD,"(39.1913,-76.8083)"
POINT (1373872.56047035 577055.7309021913),7728,AUTUMN VIEW,Ellicott City,Ellicott City,SW OF COLLEGE AVE 2400' NW OF BONNIE BRANCH RD,"(39.2511,-76.7828)"
POINT (1352293.744224351 589470.0487401932),7644,HECHT PROPERTY,Ellicott City,Ellicott City,W SIDE BETHANY LN 1000' S OF PATUXENT OVERLOOK CT,"(39.2853,-76.8589)"
POINT (1377731.4165663533 570518.7405261919),7578,YAW PROPERTY,Elkridge,Elkridge,N SIDE ELLIS LN 1000' E OF ILCHESTER RD,"(39.2331,-76.7692)"
POINT (1365912.5361483507 581697.735917192),7570,THE WOODS OF TIBER BRANCH,Ellicott City,Ellicott City,W SIDE OF OLD COLUMBIA PIKE 500' N OF BRITTANY DR,"(39.2639,-76.8109)"
POINT (1371094.0480463505 557423.6680161916),7574,MAYFIELD WOODS,Elkridge,Elkridge,E & W SIDES OF EMA'S CT AT MAYFIELD AVE,"(39.1971,-76.7926)"
POINT (1349974.3495203517 575992.7790291924),7478,SEARLES PROPERTY,Ellicott City,Ellicott City,E SIDE CENTENNIAL LN 850' N OF MAXINE ST,"(39.2482,-76.8671)"
POINT (1362114.3289363533 580957.7061321922),7473,ST. JOHNS POINT,Ellicott City,Ellicott City,E SIDE OF ST. JOHNS LN N OF HIGH POINT RD,"(39.2619,-76.8243)"
POINT (1375765.9959563538 575052.3775431924),7201,TAYLOR-GIFT PROPERTY  (4556 BONNIE BRANCH ROAD),Ellicott City,Ellicott City,W SIDE OF BONNIE BRANCH RD S OF COLLEGE AVE,"(39.2456,-76.7761)"
POINT (1350632.134846352 530425.4904741906),7521,GILBERT SUBDIVISION,Southeast,Southeast,W SIDE OLD SCAGGSVILLE RD 900' N OF STANSFIELD RD,"(39.1229,-76.8648)"
POINT (1373962.1167663522 577227.7378251906),7632,AUTUMN VIEW,Ellicott City,Ellicott City,BROADGATE CIR & SOUTH & EAST SIDE OF HIGH CASTLE RD,"(39.2516,-76.7825)"
POINT (1373276.27424635 550248.4701351915),6944,VILLAGE TOWNS,Elkridge,Elkridge,NE QUADRANT OF OLD WATERLOO RD AT PORT CAPITAL DR,"(39.1774,-76.7849)"
POINT (1374595.5291763507 551476.8832131922),7002,THE OAKS AT WATERS EDGE,Elkridge,Elkridge,NE OF PORT CAPITAL DR SOUTH OF I-95,"(39.1808,-76.7802)"
POINT (1387606.4152303487 556024.3389681913),7356,MCQUAY PROPERTY,Elkridge,Elkridge,NE SIDE LOUDON AVE OPPOSITE ATHOL AVE,"(39.1933,-76.7343)"
POINT (1349908.5993283503 567728.4464031924),7562,VILLAGE OF WILDE LAKE,Columbia,Columbia,TERMINUS OF RIVULET ROW,"(39.2255,-76.8673)"
POINT (1368332.2565763518 584081.8318731915),7310,TIBER HUDSON SENIOR HOUSING & COMMUNITY CENTER,Senior East,Ellicott City,W SIDE OF ELLICOTT MILLS DR AT MOUNT IDA DR,"(39.2704,-76.8023)"
POINT (1364116.3089203537 572842.1067651901),7322,MONTJOY - PH. 4,Ellicott City,Ellicott City,TERMINUS OF EXECUTIVE PARK DR,"(39.2395,-76.8172)"
POINT (1340893.1710623503 591634.8631431926),6509,ELLICOTT MEADOWS (formerly HOMELAND),Rural West,Ellicott City,NE QUADRANT FREDERICK RD & MARRIOTTSVILLE RD,"(39.2912,-76.8991)"
POINT (1340893.1710623503 591634.8631431926),6767,ELLICOTT MEADOWS (Formerly HOMELAND),Rural West,Ellicott City,NE QUADRANT FREDERICK RD & MARRIOTTSVILLE RD,"(39.2912,-76.8991)"
POINT (1370416.9911123514 570352.5520191919),7469,SANTILLO PROPERTY,Elkridge,Elkridge,S SIDE MONTGOMERY RD 800' NW OF CRYSTAL SPRINGS DR,"(39.2327,-76.795)"
POINT (1373385.9523683526 577548.1143561937),7361,AUTUMN VIEW,Ellicott City,Ellicott City,S SIDE OF COLLEGE AVE AT HIGH CASTLE RD,"(39.2525,-76.7845)"
POINT (1366481.33199035 565469.0827401914),7565,ROBINSON SUBDIVISION,Columbia,Columbia,TERMINUS OF FOXCROFT WAY,"(39.2193,-76.8089)"
POINT (1378968.2003503516 571938.7976811919),7350,CASCADE OVERLOOK,Elkridge,Elkridge,NE SIDE OF LANDING RD 800' SE OF ILCHESTER RD,"(39.2371,-76.7648)"
POINT (1368018.5261343494 576933.5441661924),7458,GIBSON PROPERTY,Ellicott City,Ellicott City,TERMINUS OF DORADO DR,"(39.2508,-76.8034)"
POINT (1350562.133564353 590135.1664191894),7470,HENLINE PROPERTY,Ellicott City,Ellicott City,EAST SIDE OF MULLINEAUX LN,"(39.2871,-76.865)"
POINT (1373735.675372351 571669.3322901912),7535,FINCHAM PROPERTY,Ellicott City,Ellicott City,W SIDE BONNIE BRANCH RD 150' S OF TWIN STREAM DR,"(39.2363,-76.7833)"
POINT (1350386.1384383552 590203.1691561919),7170,PUSATERI PROPERTY,Ellicott City,Ellicott City,W SIDE OF MULLINEAUX LN 1000' NE OF BOONES LN,"(39.2873,-76.8656)"
POINT (1378381.5499303527 574033.063790191),7277,ILCHESTER HILLS,Elkridge,Elkridge,E SIDE OF ILCHESTER RD 1000' N OF BEECHWOOD RD,"(39.2428,-76.7669)"
POINT (1338909.8958743513 543859.8493671902),7327,MAPLE LAWN FARMS - PH. 2,Southeast,Southeast,S SIDE JOHNS HOPKINS RD W OF SANNER RD,"(39.1598,-76.9061)"
POINT (1344990.65501035 534379.8314481918),7234,HEATH PROPERTY,Southeast,Southeast,S SIDE HARDING RD 800' E OF PINEWAY DR,"(39.1338,-76.8847)"
POINT (1390879.471124351 560648.5250841919),7258,CIEPIELA PROPERTY,Elkridge,Elkridge,E SIDE HANOVER RD 350' S OF WASHINGTON BLVD,"(39.206,-76.7228)"
POINT (1391535.272608351 558223.7002161909),7325,THE BLUFFS AT WHITETAIL WOODS I,Elkridge,Elkridge,S SIDE OF FLOREY RD OPPOSITE SECOND AVE,"(39.1993,-76.7205)"
POINT (1338737.0182143524 544450.4185911901),7285,MAPLE LAWN FARMS,Southeast,Southeast,E & W OF MIDTOWN RD & W OF DUKE ST,"(39.1615,-76.9068)"
POINT (1379455.375264354 559823.0373141915),6833,CENTRE 9500 - PARCEL C,Senior East,Elkridge,S OF MARSHALEE DR OPPOSITE GATEPOST WAY,"(39.2037,-76.7631)"
POINT (1379455.375264354 559823.0373141915),6910,CENTRE 9500 - PARCEL C  PH. I,Senior East,Elkridge,S OF MARSHALEE DR OPPOSITE GATEPOST WAY,"(39.2037,-76.7631)"
POINT (1378484.4263083525 573773.4169761911),7132,ILCHESTER HILLS,Elkridge,Elkridge,E SIDE OF ILCHESTER RD 1000' N OF BEECHWOOD RD,"(39.2421,-76.7665)"
POINT (1378670.6240503527 563687.1928401925),7011,STEVEN CURRAN PROPERTY,Elkridge,Elkridge,N SIDE MONTGOMERY RD 1000' W OF PARKVIEW CT,"(39.2144,-76.7658)"
POINT (1366928.8300643526 584186.1997101922),7221,KLEIN AVENUE,Ellicott City,Ellicott City,E SIDE OF KLEIN AVE OPPOSITE SMITH AVE,"(39.2707,-76.8073)"
POINT (1360783.454360351 590324.6285901926),7336,WARREN PROPERTY,Ellicott City,Ellicott City,E SIDE ST. JOHNS LN 200' N OF BROOKWOOD RD,"(39.2876,-76.829)"
POINT (1370370.5125283487 571213.6775871906),6995,WOODROW PROPERTY,Ellicott City,Ellicott City,E SIDE MONTGOMERY RD 400' N OF WORTHINGTON WAY,"(39.2351,-76.7951)"
POINT (1385046.4088323526 562428.2330781929),7442,5823 OLD HUNT CLUB ROAD,Elkridge,Elkridge,EAST SIDE OF OLD HUNT CLUB RD,"(39.2109,-76.7433)"
POINT (1352980.1535563543 590413.723085193),7297,TOLIVER PROPERTY,Ellicott City,Ellicott City,E SIDE OF BETHANY LN OPPOSITE PATUXENT OVERLOOK CT,"(39.2879,-76.8565)"
POINT (1371818.1503763497 569518.7002761923),7235,BOWEN PLANTATION,Ellicott City,Ellicott City,NE SIDE MONTGOMERY RD 200' S OF WOOD POINT PL,"(39.2304,-76.79)"
POINT (1347530.8229883537 550142.647694191),7113,DONS LANDING,Columbia,Columbia,SOUTH SIDE OF OLD COLUMBIA RD 600' W OF RIVERWOOD DR,"(39.1771,-76.8757)"
POINT (1391673.2913303524 558160.0612911917),7169,THE BLUFFS AT WHITETAIL WOODS II,Elkridge,Elkridge,S SIDE OF FLOREY RD 100' E OF SECOND AVE,"(39.1992,-76.72)"
POINT (1372572.5771483518 576790.265672192),5850,VILLAGE CREST,Senior East,Ellicott City,NE SIDE OF CHEWS VINEYARD 500' N OF TULIP WAY,"(39.2504,-76.7874)"
POINT (1364972.195040349 543242.0063181929),7185,MOORES' ESTATE,Southeast,Southeast,S SIDE MISSION RD 500' SW OF REDONDO WAY,"(39.1581,-76.8142)"
POINT (1367556.8577603512 555386.1314631924),6854,KENDALL OVERLOOK,Columbia,Columbia,E SIDE DRIED EARTH BLVD 1200' S OF APRIL BROOK CIR,"(39.1915,-76.8051)"
POINT (1358822.0014343522 536491.189154191),7238,STONE LAKE,Southeast,Southeast,DEEP WATER LN OPPOSITE WEATHERED STONE WAY,"(39.1396,-76.8359)"
POINT (1367550.90623435 568161.9183951914),7137,SPRINGER PROPERTY,Ellicott City,Ellicott City,WEST SIDE OF WATERLOO RD 100' NORTH OF ELKO DR,"(39.2267,-76.8051)"
POINT (1373752.963138353 571251.8609421905),7129,WORTHINGTON FIELDS,Ellicott City,Ellicott City,EAST SIDE OF NEW CUT RD 5000' NORTH OF RT 103,"(39.2352,-76.7832)"
POINT (1338785.4806403518 534114.3662181925),7156,BELINDA  PROPERTY,Southeast,Southeast,S SIDE OF HARDING RD 700' W OF BISHOPS GATE LN,"(39.133,-76.9066)"
POINT (1347035.429300353 533916.903725192),6632,THE HILLSIDE AT ROCKY GORGE II,Southeast,Southeast,S SIDE OF SCAGGSVILLE RD 200' E OF TOWER DR,"(39.1325,-76.8775)"
POINT (1348373.9558383524 588612.9233331922),6762,HOLLENBAUGH PROPERTY,Ellicott City,Ellicott City,N SIDE US RT 40 400' E OF PEBBLE BEACH DR,"(39.2829,-76.8727)"
POINT (1353064.891950354 536993.7548361905),6439,EMERSON,Southeast,Southeast,S SIDE OF SKYLARK BLVD W SIDE OF PALACE HALL DR,"(39.141,-76.8562)"
POINT (1375248.7800063528 556166.1628581919),6788,JENMAR HOMES AT MAYFIELD,Elkridge,Elkridge,S SIDE OF MAYFIELD AVE 100' W OF MEADOWRIDGE RD,"(39.1937,-76.7779)"
POINT (1338883.8225223534 544618.7890041918),7086,MAPLE LAWN FARMS,Southeast,Southeast,"E & W SIDE MIDTOWN RD, S OF LIBERTY ST & DUKE ST","(39.1619,-76.9062)"
POINT (1371255.0226543508 557566.2192081921),7083,EMA'S MANOR,Elkridge,Elkridge,N SIDE OF MAYFIELD AVE 300' E OF WATERLOO RD,"(39.1975,-76.792)"
POINT (1360656.4884723537 590565.3655521926),6818,ZINKEWYCH PROPERTY,Ellicott City,Ellicott City,E SIDE OF ST. JOHN'S LN OPPOSITE MISTY WOOD LN,"(39.2883,-76.8294)"
POINT (1360271.3397183493 592544.717945192),7020,MARYDELL ROAD PROPERTY,Ellicott City,Ellicott City,TERMINUS OF MARYDELL RD,"(39.2937,-76.8308)"
POINT (1350470.31002035 574959.6465381905),7014,EASTSIDE,Ellicott City,Ellicott City,S SIDE OF MAXINE ST 500' E OF CENTENNIAL LN,"(39.2454,-76.8654)"
POINT (1356255.7601043507 527197.3605471905),7035,NORTH LAUREL PARK,Southeast,Southeast,WASHINGTON AVE WEST OF NORTH LAUREL RD,"(39.114,-76.8449)"
POINT (1344064.767608352 598446.7736751921),7147,GTW'S WAVERLY WOODS,Ellicott City,Ellicott City,N SIDE OF ENFIELD DR AT HARROW DR,"(39.3099,-76.888)"
POINT (1372259.4135183543 577662.3007701915),6062,VILLAGE CREST - PH. 1,Senior East,Ellicott City,SW SIDE OF COLLEGE AVE SE OF NEW CUT RD,"(39.2528,-76.7885)"
POINT (1348672.0989503525 588981.3017961923),7100,CARLEE MANOR,Ellicott City,Ellicott City,S SIDE OF CARLEE RUN CT,"(39.2839,-76.8717)"
POINT (1351096.3538743518 559215.3764931913),7026,SCHUCHARDT PROPERTY,Columbia,Columbia,TERMINUS OF RODONA DR,"(39.2021,-76.8631)"
POINT (1375450.281672351 575825.1359181926),7080,AUTUMN VIEW,Ellicott City,Ellicott City,W SIDE OF DONCASTER DR AT HURLEY DR,"(39.2477,-76.7772)"
POINT (1350998.2953983508 584538.577529192),7184,FENNER PROPERTY,Ellicott City,Ellicott City,E SIDE OF CENTENNIAL LN,"(39.2717,-76.8635)"
POINT (1351893.0081403516 591253.029593192),6917,SUZANNE FROCK PROPERTY,Ellicott City,Ellicott City,S SIDE OF REED LN 800' W OF BETHANY LN,"(39.2902,-76.8603)"
POINT (1348376.2230863534 558812.0875341911),6996,VALENZIA PROPERTY,Columbia,Columbia,S SIDE OF OWEN BROWN RD 550' W OF WOODLEIGH DR,"(39.201,-76.8727)"
POINT (1366487.0001103505 586723.0290861912),7051,REELEY PROPERTY,Ellicott City,Ellicott City,N SIDE OF RIDGE RD,"(39.2777,-76.8088)"
POINT (1361231.8026523516 587700.1593231913),7066,ST. JOHN'S VALLEY,Ellicott City,Ellicott City,W SIDE ST JOHNS LN 250' N OF AMBRA CT,"(39.2804,-76.8274)"
POINT (1358536.8949983492 526771.5252261907),7000,NORTH LAUREL PARK,Southeast,Southeast,E SIDE MEREDITH AVE AT GROVER PL,"(39.1128,-76.8369)"
POINT (1351776.244868353 567597.1683921907),6640,EDITH M. RALSTON PROPERTY,Columbia,Columbia,N SIDE HYLA BROOK RD 200' W OF THE MENDING WALL,"(39.2251,-76.8607)"
POINT (1374715.409914352 572119.8958791923),7076,TUCKER PROPERTY,Elkridge,Elkridge,E SIDE OF BONNIE BRANCH RD 1100' S OF WHARFF LANE,"(39.2376,-76.7798)"
POINT (1345723.2595203482 599918.8329231907),6988,GTW'S WAVERLY WOODS,Ellicott City,Ellicott City,S SIDE OF DORCHESTER WAY & NW SIDE OF DORCHESTER WAY,"(39.314,-76.8821)"
POINT (1335545.8666543514 567794.2672341913),7003,VETICK PROPERTY,Columbia,Columbia,S SIDE CLARKSVILLE PIKE SW OF MIDDLE PATUXENT CT,"(39.2257,-76.918)"
POINT (1371489.3994163536 576410.9776791912),6989,WORTHINGTON FIELDS,Ellicott City,Ellicott City,NE SIDE OF RIVIERA SUN DR S OF GARDEN GATE CT,"(39.2494,-76.7912)"
POINT (1363253.3376503512 572058.438860191),6918,MONTJOY,Ellicott City,Ellicott City,TERMINUS OF EXECUTIVE PARK DR,"(39.2374,-76.8202)"
POINT (1363957.884966351 572215.172441192),6919,MONTJOY,Ellicott City,Ellicott City,TERMINUS OF EXECUTIVE PARK DR_,"(39.2378,-76.8178)"
POINT (1350700.1522863507 590714.0988111906),6796,MAKOWSKI PROPERTY,Ellicott City,Ellicott City,TERMINUS OF MULLINEAUX LN,"(39.2887,-76.8645)"
POINT (1355951.9488723539 533016.1401981916),6578,HAMMONDS VIEW,Southeast,Southeast,W SIDE STEPHENS RD 1000' N OF WHISKEY BOTTOM RD,"(39.13,-76.846)"
POINT (1358994.028876353 536355.5473311916),6921,STONE LAKE,Southeast,Southeast,N SIDE OF RIVER GLADE RUN,"(39.1392,-76.8353)"
POINT (1377997.5348003507 563468.2749381922),6785,ROCKBURN VIEW,Elkridge,Elkridge,S SIDE OF MONTGOMERY RD 700' W OF BELLANCA DR,"(39.2138,-76.7682)"
POINT (1352011.7552543543 590733.0086631924),6907,GERMAN ROAD,Ellicott City,Ellicott City,SOUTH SIDE OF GERMAN RD 750' W OF BETHANY LN,"(39.2887,-76.8599)"
POINT (1353094.9329863526 564632.3217891902),6754,COLUMBIA TOWN CENTER,Columbia,Columbia,NE SIDE WINCOPIN CIR,"(39.217,-76.8561)"
POINT (1346590.481880352 599738.0983761922),6943,GTW'S WAVERLY WOODS,Ellicott City,Ellicott City,"NW SIDE OF DORCHESTER WAY, ALSO CHATTERTON WAY","(39.3135,-76.879)"
POINT (1354317.829876352 577478.2933641914),6941,THE OVERLOOK AT CENTENNIAL PARK,Ellicott City,Ellicott City,NE SIDE OF OLD ANNAPOLIS RD 250' N OF NATALIES WAY,"(39.2523,-76.8518)"
POINT (1344851.50266435 549797.5428951923),6670,RIVERSIDE ESTATES,Southeast,Southeast,SE QUADRANT OF NEWBERRY DR & JUDY LN,"(39.1762,-76.8852)"
POINT (1370984.3699243516 590722.0991331916),6687,CHESTNUT CREST,Ellicott City,Ellicott City,E OF CHESTNUT HILL DR 200' S OF FOREST HILL,"(39.2887,-76.793)"
POINT (1351213.400552351 558366.9787101913),6726,WELK PROPERTY & WELK II PROPERTY,Columbia,Columbia,NORTH SIDE OF OWEN BROWN RD 900' W OF DEWEY DR,"(39.1997,-76.8627)"
POINT (1351361.9052963518 535070.404697191),6769,EMERSON,Southeast,Southeast,SE SIDE OF SKYLARK BLVD S OF THREE MOONS WAY,"(39.1357,-76.8622)"
POINT (1391689.1620663516 558381.8884011917),6828,NORTH POINT,Elkridge,Elkridge,N SIDE OF FLOREY RD E OF SECOND AVE,"(39.1998,-76.7199)"
POINT (1376562.3668163493 570814.7524401918),6606,LOWE PROPERTY,Elkridge,Elkridge,W SIDE OF ILCHESTER RD 600' S OF LANDING RD,"(39.234,-76.7733)"
POINT (1364688.5056343526 542655.0736041907),6384,NORDAU SUBDIVISION,Southeast,Southeast,SE SIDE MISSION RD 300' NE OF JONES RD,"(39.1565,-76.8152)"
POINT (1369448.0259983502 541365.9308091905),4878,BRENTWOOD MANOR EXPANSION,Southeast,Southeast,E SIDE OF RT 1 3800' S OF FLEMING ST,"(39.153,-76.7984)"
POINT (1380454.9482263513 563072.986301193),6794,"WILLIAM KRATZ, SR.  PROPERTY",Elkridge,Elkridge,N SIDE OF MONTGOMERY RD 150' E OF PARKVIEW CT,"(39.2127,-76.7596)"
POINT (1384809.481416352 561440.920613192),6836,REVISIONS FOUNDATION PROPERTY,Elkridge,Elkridge,S SIDE BAUMAN DR W OF HUNT CLUB RD,"(39.2082,-76.7442)"
POINT (1364254.3276423514 536650.4682921916),6584,BASFORD'S RETREAT,Southeast,Southeast,TERMINUS OF LINCOLN ST,"(39.14,-76.8167)"
POINT (1350277.8773463517 576756.0824781917),6743,CENTENNIAL WOODS,Ellicott City,Ellicott City,E SIDE OF CENTENNIAL LN 1500' N OF MAXINE ST,"(39.2503,-76.866)"
POINT (1347428.796828352 534323.4655431919),6708,HILLSIDE AT ROCKY GORGE III (LOT 2 ) & IV (LOT 2),Southeast,Southeast,S SIDE SCAGGSVILLE RD 450' E OF TOWER DR,"(39.1336,-76.8761)"
POINT (1351238.6236863509 535613.699291192),6791,EMERSON,Southeast,Southeast,SE SIDE OF SKYLARK BLVD S OF THREE MOONS WAY,"(39.1372,-76.8626)"
POINT (1346068.7314343527 553436.23480119),6090,8050 HARRIET TUBMAN LANE,Southeast,Columbia,S SIDE HARRIET TUBMAN LN 2200' E OF CARAVAN CT,"(39.1862,-76.8809)"
POINT (1367605.8869983517 592817.8198461924),5787,ROCKY GLEN,Ellicott City,Ellicott City,S SIDE OF CHURCH LN 600' W OF CHESTNUT FARM RD,"(39.2945,-76.8049)"
POINT (1351627.7401243523 534982.7648061905),6688,EMERSON,Southeast,Southeast,"W OF I-95, N OF RT 216 & SW OF GORMAN RD","(39.1354,-76.8613)"
POINT (1351308.341562353 565397.4434931912),6137,TOWN CENTER,Columbia,Columbia,S SIDE OF GOV. WARFIELD PKY OPPOSITE WINDSTREAM DR,"(39.2191,-76.8624)"
POINT (1372198.4812283516 567484.4365821909),6620,FLESHMAN PROPERTY,Elkridge,Elkridge,E SIDE MONTGOMERY RD (MD 103) 300' N OF LYNN LN,"(39.2248,-76.7887)"
POINT (1377618.337572351 563379.1804431919),6465,ROCKBURN VIEW,Elkridge,Elkridge,S SIDE OF MONTGOMERY RD E OF ROCKBURN WOODS WAY,"(39.2135,-76.7696)"
POINT (1366297.6849023513 577739.758433193),6442,STONECREST,Ellicott City,Ellicott City,TERMINUS OF SOUTH BALI CT,"(39.253,-76.8095)"
POINT (1351099.187934354 535150.4079171903),6716,EMERSON,Southeast,Southeast,SE SIDE OF SKYLARK BLVD & THREE MOONS WAY,"(39.1359,-76.8631)"
POINT (1349092.9568603523 589063.4869221915),6713,CARLEE MANOR,Ellicott City,Ellicott City,W SIDE BOONES LN 1000' N BALTIMORE NATIONAL PIKE,"(39.2841,-76.8702)"
POINT (1351205.1817783527 535327.8696051929),6630,EMERSON,Southeast,Southeast,SOUTH SIDE OF SKYLARK BLVD,"(39.1364,-76.8628)"
POINT (1351478.9519743547 535585.3345131911),6665,EMERSON,Southeast,Southeast,"W OF I-95, N OF RT 216 & SW OF GORMAN RD","(39.1371,-76.8618)"
POINT (1361295.5690023527 598314.4047111925),6123,PATAPSCO PARK ESTATES,Ellicott City,Ellicott City,TERMINUS OF ELIZA DORSEY LN,"(39.3096,-76.8272)"
POINT (1352269.0879023522 536954.8441791907),6234,EMERSON,Southeast,Southeast,S SIDE SKYLARK BLVD OPPOSITE ETERNAL SKY DR,"(39.1409,-76.859)"
POINT (1340252.673502352 537200.672255192),5966,CHERRYTREE PARK,Southeast,Southeast,SE QUADRANT US RT 29 & MD RT 216_,"(39.1415,-76.9014)"
POINT (1365138.8377683535 594754.6250721905),6506,DANIELS MILL OVERLOOK,Ellicott City,Ellicott City,S SIDE STONEHOUSE DR 600' SW OF WATERWHEEL CT,"(39.2998,-76.8136)"
POINT (1369372.6400023513 585968.453261191),5891,THE WOODS OF PARK PLACE,Ellicott City,Ellicott City,N SIDE OF CHURCH RD E OF PARK DR,"(39.2756,-76.7987)"
POINT (1366392.6259123534 558390.6160251908),6536,ROUTE 175 COMMERCIAL,Columbia,Columbia,W SIDE SNOWDEN RIVER PKY OPPOSITE APRIL BROOK CIR,"(39.1998,-76.8092)"
POINT (1351996.7347363494 535944.9853521921),6648,EMERSON,Southeast,Southeast,SE SIDE OF SKYLARK BLVD S OF THREE MOONS WAY,"(39.1381,-76.86)"
POINT (1351079.6329203509 535506.4222461917),6593,EMERSON,Southeast,Southeast,"W OF I-95, N OF RT 216 & SW OF GORMAN RD","(39.1369,-76.8632)"
POINT (1362536.6038763523 579247.8191301916),6495,VELI DEMIREL PROPERTY  (HIGH POINT),Ellicott City,Ellicott City,E SIDE OF HIGH POINT RD 300' N OF ST. JOHNS LN,"(39.2572,-76.8228)"
POINT (1351554.904782351 535950.0764661934),6582,EMERSON,Southeast,Southeast,S SIDE SKYLARK BLVD S OF THREE MOONS WAY,"(39.1381,-76.8615)"
POINT (1380704.628912352 559814.6733411923),5965,FAIRWAY OVERLOOK,Senior East,Elkridge,WEST SIDE OF THE TERMINUS OF DEBORAH JEAN DRIVE,"(39.2037,-76.7587)"
POINT (1337959.3521503508 533864.5379811917),6423,KIM PROPERTY,Southeast,Southeast,SOUTH SIDE HARDING RD EAST OF OLD COLUMBIA RD,"(39.1324,-76.9095)"
POINT (1367208.2683803514 563967.5677611921),6381,WATERLOO ROAD PROPERTY,Columbia,Columbia,W SIDE OF WATERLOO RD 100' NORTH OF GOLDFINCH CT,"(39.2151,-76.8063)"
POINT (1347152.7593843527 560652.1615941916),6130,ABBIE GLEN,Columbia,Columbia,EAST SIDE OF JERRY'S DR 700' N OF MARIA NOEL DR,"(39.206,-76.8771)"
POINT (1346309.9099403508 555094.483361192),6466,JAMES & AUDREY KING PROPERTY,Columbia,Columbia,E SIDE FREETOWN RD 400' N OF FAIR OAKS,"(39.1907,-76.88)"
POINT (1352722.820908349 578559.0641361903),6540,SABERIAN PROPERTY,Ellicott City,Ellicott City,S SIDE OLD ANNAPOLIS RD 600' E OF HERMITAGE DR,"(39.2553,-76.8574)"
POINT (1351990.4998043515 536489.7345501911),5829,EMERSON,Southeast,Southeast,E SIDE OF SKYLARK BLVD N OF THREE MOONS WAY,"(39.1396,-76.86)"
POINT (1357489.1430163495 535517.3317761924),6016,STONE LAKE,Southeast,Southeast,SADDLEBACK PL SOUTH OF WEATHERED STONE WAY,"(39.1369,-76.8406)"
POINT (1373539.8418263495 568368.4721631911),6369,SPRING OAKS,Elkridge,Elkridge,S SIDE OF ILCHESTER RD 400' E OF FONT RD,"(39.2272,-76.784)"
POINT (1377542.384764351 570181.6360491924),6488,GLYNCHESTER FARMS,Elkridge,Elkridge,E SIDE OF ILCHESTER RD S OF LANDING RD,"(39.2322,-76.7698)"
POINT (1373148.174734354 571871.5222461913),6064,BONNIE BRANCH OVERLOOK II,Ellicott City,Ellicott City,NORTH SIDE OF BONNIE VIEW CT,"(39.2369,-76.7853)"
POINT (1313076.8721623532 589902.0661281925),5555,FRIENDSHIP LAKES,Rural West,Rural West,S SIDE OF OLD ROVER RD 1000' W OF PFEFFERKORN RD,"(39.2865,-76.9973)"
POINT (1347482.6439683512 534126.0030501913),6173,CORNERSTONE,Southeast,Southeast,SOUTH SIDE SCAGGSVILLE RD OPPOSITE ROSEMONT DR_____________________________,"(39.1331,-76.8759)"
POINT (1362490.408698354 559086.2803881913),6068,CARL A. FISCHER PROPERTY,Columbia,Columbia,N SIDE OF OLD MONTGOMERY RD 380' E OF MAJORS LN,"(39.2017,-76.8229)"
POINT (1355760.0830103494 527636.6509551909),6125,NORTH LAUREL PARK,Southeast,Southeast,SW QUADRANT OF FULTON AVE & PARK AVE,"(39.1152,-76.8467)"
POINT (1349126.3987683505 558406.616669191),6397,LUTHER E. JUSTIS & SIN HWA JUSTIS,Columbia,Columbia,S SIDE OF OWEN BROWN RD 100' W OF MARTIN RD,"(39.1998,-76.8701)"
POINT (1345387.4234103523 553376.5960371904),6143,SMITH-CB SUBDIVISION,Southeast,Columbia,S SIDE OF GUILFORD RD 1300' E OF CARAVAN CT,"(39.186,-76.8833)"
POINT (1369135.9959923513 571110.4007031918),5833,THE COURTYARDS OF ELLICOTT MILLS,Senior East,Ellicott City,EAST SIDE OF GROVE ANGLE RD 700' NORTH OF GROVE RD,"(39.2348,-76.7995)"
POINT (1371431.5845923536 576628.8046281915),6031,WORTHINGTON FIELDS,Ellicott City,Ellicott City,GARDEN GATE CT EAST OF RIVIERA SUN DR,"(39.2499,-76.7914)"
POINT (1370946.110114351 555867.2417361923),6042,ARBOR OVERLOOK,Elkridge,Elkridge,E SIDE OF WATERLOO RD 1400' N OF LARK BROWN RD,"(39.1929,-76.7931)"
POINT (1348192.0091863498 581563.1850471925),6168,KINGSBRIDGE AT BURLEIGH MANOR,Ellicott City,Ellicott City,E SIDE KINGSWAY CT S OF KINGSBRIDGE RD,"(39.2635,-76.8734)"
POINT (1347325.9204503521 549891.0012021903),6051,DONS LANDING,Columbia,Columbia,SOUTH SIDE OF OLD COLUMBIA RD 600' W OF RIVERWOOD DR,"(39.1764,-76.8764)"
POINT (1350523.306942355 589717.6950711925),6177,SHOWN PROPERTY,Ellicott City,Ellicott City,SE SIDE OF MULLINEAUX LN 600' E OF BOONES LN,"(39.2859,-76.8652)"
POINT (1344024.523956351 558999.7314501926),6083,CEDAR ACRES,Columbia,Columbia,S SIDE OF HILLTOP LN OPPOSITE GREEN VIEW WAY,"(39.2015,-76.8881)"
POINT (1376694.1506063528 571034.033993192),6167,LOWE PROPERTY,Elkridge,Elkridge,WEST SIDE OF ILCHESTER RD 200' S OF WHARFF LN,"(39.2346,-76.7728)"
